epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.4283,3.42086,3.84157,3.95394,0.00833,0.05233,0.00578,0.00156,3.26183,60.7483,4.10774,0.00041521,0.00041521,0.00041521
2,80.0853,2.7558,3.0988,3.13595,0.05239,0.07875,0.02159,0.0066,2.62948,3.5542,3.1349,0.000829131,0.000829131,0.000829131
3,112.111,2.39031,2.82876,2.79763,0.0788,0.07453,0.03083,0.00936,2.51284,3.16977,2.92282,0.0012403,0.0012403,0.0012403
4,143.835,2.14026,2.63262,2.53892,0.09835,0.22036,0.0971,0.04348,2.1095,2.85349,2.52881,0.00123763,0.00123763,0.00123763
5,176.949,1.93728,2.42564,2.33008,0.1096,0.21273,0.09404,0.04555,2.0294,2.83107,2.48078,0.0012335,0.0012335,0.0012335
6,210.874,1.87168,2.34786,2.2575,0.13317,0.23894,0.10621,0.0506,2.08478,2.80034,2.42322,0.00122937,0.00122937,0.00122937
7,243.004,1.74863,2.22498,2.13878,0.14441,0.24093,0.11743,0.04995,2.07112,2.72698,2.4196,0.00122525,0.00122525,0.00122525
8,276.389,1.66955,2.1287,2.0688,0.1435,0.32807,0.13867,0.0683,1.95128,2.75943,2.26936,0.00122112,0.00122112,0.00122112
9,308.94,1.61324,2.05918,2.00534,0.17683,0.38157,0.16065,0.07874,1.90108,2.56562,2.23222,0.001217,0.001217,0.001217
10,341.253,1.62687,2.07548,2.02405,0.23318,0.32198,0.19532,0.08789,1.90661,2.45377,2.27992,0.00121287,0.00121287,0.00121287
11,374.795,1.56432,1.98254,1.96336,0.22289,0.3242,0.18233,0.08799,1.8121,2.40479,2.13628,0.00120875,0.00120875,0.00120875
12,405.966,1.53757,1.95981,1.90677,0.22917,0.30885,0.1688,0.08413,1.80974,2.46846,2.14586,0.00120462,0.00120462,0.00120462
13,436.843,1.49095,1.89476,1.8859,0.21094,0.28386,0.17297,0.08375,1.7779,2.38431,2.0747,0.0012005,0.0012005,0.0012005
14,467.712,1.49845,1.88301,1.87917,0.25861,0.37052,0.22563,0.11869,1.7098,2.27255,2.03955,0.00119637,0.00119637,0.00119637
15,503.324,1.46391,1.85382,1.86706,0.2063,0.38379,0.22212,0.10692,1.75138,2.29023,2.10619,0.00119225,0.00119225,0.00119225
16,534.183,1.41634,1.80204,1.81181,0.21099,0.31358,0.1733,0.09258,1.74128,2.54942,2.12012,0.00118812,0.00118812,0.00118812
17,565.155,1.40045,1.7836,1.79292,0.27088,0.31783,0.23993,0.12553,1.64767,2.23191,1.9852,0.001184,0.001184,0.001184
18,597.107,1.39174,1.75044,1.78206,0.25222,0.33298,0.22805,0.11659,1.67114,2.25107,2.02582,0.00117988,0.00117988,0.00117988
19,629.253,1.37688,1.75086,1.77526,0.23155,0.3604,0.23596,0.13438,1.67784,2.27525,2.02173,0.00117575,0.00117575,0.00117575
20,662.077,1.38061,1.7299,1.76913,0.27873,0.45646,0.2676,0.14244,1.6372,2.17323,1.97966,0.00117163,0.00117163,0.00117163
21,694.123,1.35094,1.69363,1.75433,0.23253,0.41615,0.26457,0.14572,1.662,2.18059,2.01128,0.0011675,0.0011675,0.0011675
22,727.621,1.34301,1.692,1.73266,0.28481,0.43905,0.26399,0.13709,1.55237,2.1391,1.90104,0.00116337,0.00116337,0.00116337
23,760.391,1.31639,1.65078,1.7145,0.26402,0.43362,0.25062,0.13399,1.61462,2.25378,1.98343,0.00115925,0.00115925,0.00115925
24,791.901,1.31963,1.65413,1.71473,0.24149,0.36475,0.22891,0.11879,1.58051,2.4739,1.94677,0.00115513,0.00115513,0.00115513
25,823.245,1.29341,1.61545,1.68263,0.32346,0.38585,0.28547,0.15819,1.5714,2.1367,1.92826,0.001151,0.001151,0.001151
26,856.633,1.27083,1.59393,1.67163,0.36728,0.35301,0.27388,0.16233,1.47848,2.14091,1.84447,0.00114688,0.00114688,0.00114688
27,889.122,1.2855,1.60403,1.67817,0.28202,0.39708,0.25293,0.14445,1.55914,2.14311,1.94055,0.00114275,0.00114275,0.00114275
28,919.909,1.25549,1.61521,1.67221,0.3274,0.38783,0.31755,0.16912,1.49654,2.02839,1.87851,0.00113863,0.00113863,0.00113863
29,952.846,1.24791,1.5528,1.64709,0.29825,0.46416,0.29655,0.1621,1.53886,2.07311,1.86865,0.0011345,0.0011345,0.0011345
30,983.236,1.23112,1.56899,1.64089,0.35624,0.35776,0.26718,0.14234,1.60209,2.11104,1.91798,0.00113038,0.00113038,0.00113038
31,1013.69,1.2229,1.51147,1.61881,0.30547,0.43796,0.29167,0.17253,1.52757,2.18514,1.89959,0.00112625,0.00112625,0.00112625
32,1048,1.23758,1.50409,1.63336,0.34598,0.44229,0.3295,0.17983,1.48517,2.01927,1.83772,0.00112213,0.00112213,0.00112213
33,1080.95,1.20869,1.47607,1.62474,0.29816,0.49206,0.31028,0.16568,1.58339,2.05353,1.93945,0.001118,0.001118,0.001118
34,1111.71,1.20183,1.46957,1.60119,0.34607,0.48249,0.33765,0.18107,1.51984,1.9326,1.82553,0.00111388,0.00111388,0.00111388
35,1145.65,1.20102,1.48127,1.59609,0.34454,0.45012,0.32784,0.18386,1.47277,1.96215,1.83868,0.00110975,0.00110975,0.00110975
36,1178.26,1.17165,1.44496,1.57554,0.32555,0.47931,0.31668,0.18597,1.41352,1.98461,1.78665,0.00110563,0.00110563,0.00110563
37,1210.25,1.19477,1.48213,1.59973,0.24666,0.50424,0.2432,0.12791,1.51286,2.17139,1.87813,0.0011015,0.0011015,0.0011015
38,1242.32,1.18717,1.4868,1.5868,0.41307,0.39741,0.32516,0.17275,1.58384,2.00423,1.88796,0.00109738,0.00109738,0.00109738
39,1273.37,1.1503,1.4167,1.56061,0.30099,0.44792,0.28579,0.14242,1.63175,2.12351,1.94888,0.00109325,0.00109325,0.00109325
40,1304.54,1.15236,1.41503,1.5598,0.33699,0.46753,0.3302,0.19466,1.41906,1.96055,1.79744,0.00108913,0.00108913,0.00108913
41,1340.19,1.14526,1.40882,1.55257,0.28364,0.43112,0.30448,0.18279,1.49168,2.0428,1.81178,0.001085,0.001085,0.001085
42,1371.95,1.16295,1.41841,1.57525,0.31883,0.51551,0.28851,0.17127,1.47838,2.11817,1.82147,0.00108088,0.00108088,0.00108088
43,1402.8,1.13561,1.3687,1.54093,0.36342,0.4475,0.36294,0.21609,1.4435,1.83977,1.7686,0.00107675,0.00107675,0.00107675
44,1435.95,1.12047,1.35808,1.52182,0.31516,0.4868,0.33625,0.20369,1.40254,1.96307,1.79961,0.00107263,0.00107263,0.00107263
45,1466.88,1.12432,1.35071,1.53958,0.29813,0.52288,0.31651,0.18176,1.42813,2.07782,1.79839,0.0010685,0.0010685,0.0010685
46,1497.49,1.12025,1.37224,1.52111,0.35911,0.48419,0.34478,0.216,1.4147,1.90234,1.76168,0.00106437,0.00106437,0.00106437
47,1528.71,1.10436,1.33581,1.52037,0.35177,0.48497,0.3171,0.18171,1.44735,1.9738,1.81521,0.00106025,0.00106025,0.00106025
48,1560.61,1.1167,1.33631,1.51013,0.43946,0.35775,0.34609,0.19484,1.46425,1.9957,1.80385,0.00105612,0.00105612,0.00105612
49,1593.26,1.10852,1.3125,1.52432,0.37344,0.43781,0.34392,0.18765,1.51224,1.98318,1.83616,0.001052,0.001052,0.001052
50,1624.76,1.09811,1.31511,1.5186,0.33322,0.43632,0.33321,0.1973,1.44757,2.05873,1.81281,0.00104787,0.00104787,0.00104787
51,1656.62,1.10607,1.30971,1.50773,0.35952,0.46453,0.34203,0.20614,1.47826,2.00218,1.81864,0.00104375,0.00104375,0.00104375
52,1687.65,1.10528,1.28558,1.5011,0.39755,0.5065,0.42078,0.25683,1.39177,1.80553,1.75497,0.00103962,0.00103962,0.00103962
53,1719.97,1.07583,1.27535,1.49433,0.33613,0.46527,0.33379,0.20992,1.37546,1.94002,1.76599,0.0010355,0.0010355,0.0010355
54,1752.5,1.08611,1.28844,1.49169,0.38243,0.506,0.40252,0.24779,1.39128,1.8332,1.74395,0.00103138,0.00103138,0.00103138
55,1783.96,1.08204,1.28891,1.4955,0.33129,0.49473,0.3582,0.22393,1.37742,1.93252,1.76434,0.00102725,0.00102725,0.00102725
56,1815.08,1.03888,1.23603,1.46308,0.4942,0.39888,0.40301,0.25034,1.43886,1.86674,1.79933,0.00102312,0.00102312,0.00102312
57,1847.44,1.07475,1.24922,1.47963,0.32244,0.54898,0.34315,0.2107,1.43668,2.04409,1.77765,0.001019,0.001019,0.001019
58,1880.76,1.04085,1.23011,1.46715,0.4586,0.33841,0.3444,0.20843,1.42607,2.03955,1.76822,0.00101488,0.00101488,0.00101488
