                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3354,                 3.6035,                  3.897,                0.03163,                0.05762,                 0.0104,                0.00342,                 3.0742,                 7.9942,                 3.9169,             0.00041521,             0.00041521,             0.00041521
                      2,                 2.6978,                 2.9365,                 3.1168,                 0.0629,                0.11045,                0.04154,                0.01348,                 2.5495,                 3.1665,                 3.0074,             0.00082913,             0.00082913,             0.00082913
                      3,                 2.2246,                 2.7228,                   2.68,                0.06348,                0.17035,                0.07304,                0.02798,                 2.2917,                  3.276,                  2.773,              0.0012403,              0.0012403,              0.0012403
                      4,                 2.0329,                 2.5784,                  2.474,                0.15227,                0.12032,                0.06759,                0.02908,                 2.1156,                 3.0273,                  2.555,              0.0012376,              0.0012376,              0.0012376
                      5,                 1.9007,                 2.4175,                 2.2898,                0.15034,                 0.1751,                0.11027,                0.05153,                 1.9979,                 2.9273,                  2.435,              0.0012335,              0.0012335,              0.0012335
                      6,                 1.7827,                 2.3118,                  2.209,                0.16878,                 0.2222,                0.12135,                0.05798,                 2.0033,                 2.7071,                 2.4357,              0.0012294,              0.0012294,              0.0012294
                      7,                  1.693,                 2.2133,                 2.1108,                0.16964,                0.25133,                0.12854,                0.06191,                 1.8422,                 2.6279,                 2.2769,              0.0012252,              0.0012252,              0.0012252
                      8,                  1.629,                 2.1269,                 2.0328,                0.14491,                0.33648,                0.14851,                0.07852,                 1.8751,                 2.5417,                 2.2805,              0.0012211,              0.0012211,              0.0012211
                      9,                 1.5968,                 2.0585,                 1.9743,                0.21851,                0.33052,                0.19897,                0.09677,                 1.8601,                 2.4475,                 2.2261,               0.001217,               0.001217,               0.001217
                     10,                 1.5382,                 2.0073,                 1.9242,                0.23203,                0.37237,                0.20748,                0.10197,                 1.8266,                 2.3989,                 2.1991,              0.0012129,              0.0012129,              0.0012129
                     11,                 1.5274,                 2.0245,                 1.9397,                0.22574,                0.42689,                0.21107,                0.11657,                 1.7695,                  2.374,                 2.1568,              0.0012087,              0.0012087,              0.0012087
                     12,                 1.4657,                 1.9315,                 1.8606,                0.20901,                0.34388,                0.18557,                0.08847,                  1.815,                  2.415,                 2.1335,              0.0012046,              0.0012046,              0.0012046
                     13,                 1.4524,                 1.8772,                 1.8539,                0.27838,                0.35716,                0.22608,                0.10876,                 1.7988,                 2.2947,                 2.1092,              0.0012005,              0.0012005,              0.0012005
                     14,                 1.4423,                 1.8713,                 1.8391,                 0.2507,                0.40272,                0.22833,                0.11358,                 1.7342,                 2.3356,                 2.0878,              0.0011964,              0.0011964,              0.0011964
                     15,                 1.3941,                 1.8354,                 1.8114,                0.26382,                0.25979,                0.23355,                0.11822,                 1.7617,                 2.3482,                   2.06,              0.0011922,              0.0011922,              0.0011922
                     16,                 1.3995,                 1.8231,                 1.8135,                0.28737,                0.41121,                0.23021,                0.11616,                   1.68,                 2.3588,                 2.0582,              0.0011881,              0.0011881,              0.0011881
                     17,                 1.3689,                 1.7824,                 1.7895,                0.22666,                0.31198,                0.23824,                0.13197,                 1.7503,                 2.3079,                 2.0966,               0.001184,               0.001184,               0.001184
                     18,                 1.3764,                 1.7614,                 1.7691,                0.24636,                0.46265,                0.24814,                0.12207,                 1.6826,                  2.234,                 2.0764,              0.0011799,              0.0011799,              0.0011799
                     19,                 1.3364,                 1.7287,                 1.7411,                0.29485,                0.43833,                0.28273,                0.15629,                 1.6083,                 2.1327,                  1.964,              0.0011757,              0.0011757,              0.0011757
